faa,name,lat,lon,alt,tz,dst,tzone
BAF,Barnes Municipal Airport,42.157799,-72.715599,271,-5.0,A,1.0
BBD,Curtis Field,31.1793003082,-99.3238983154,1827,,,
BBX,Wings Field,40.1375007629,-75.2650985718,302,-5.0,A,1.0
BCE,Bryce Canyon Airport,37.706401825,-112.144996643,7590,-7.0,A,3.0
BCT,Boca Raton Airport,26.3784999847,-80.1076965332,13,-5.0,A,1.0
BDE,Baudette International Airport,48.7284011841,-94.612197876,1086,-6.0,A,2.0
BDL,Bradley International Airport,41.9388999939,-72.68319702149999,173,-5.0,A,1.0
BDR,Igor I Sikorsky Memorial Airport,41.16350173950195,-73.1261978149414,9,-5.0,A,1.0
BEC,Beech Factory Airport,37.694499969499994,-97.21499633790002,1408,-6.0,A,2.0
BED,Laurence G Hanscom Field,42.47000122,-71.28900146,133,-5.0,A,1.0
BET,Bethel Airport,60.77980042,-161.8379974,126,-9.0,A,5.0
BFD,Bradford Regional Airport,41.8031005859375,-78.64009857177734,2143,-5.0,A,1.0
BFF,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967,-7.0,A,3.0
BFI,Boeing Field King County International Airport,47.529998779296875,-122.302001953125,21,-8.0,A,6.0
BFL,Meadows Field,35.43360138,-119.0569992,510,-8.0,A,6.0
BFM,Mobile Downtown Airport,30.626800537100003,-88.06809997559999,26,-6.0,A,2.0
BFP,Beaver County Airport,40.7724990845,-80.39140319820001,1253,-5.0,A,1.0
BFT,Beaufort County Airport,32.4122009277,-80.6343994141,10,-5.0,A,1.0
BGE,Decatur County Industrial Air Park,30.9715004,-84.63739777,141,-5.0,A,1.0
BGM,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636,-5.0,A,1.0
BGR,Bangor International Airport,44.80739974975586,-68.8281021118164,192,-5.0,A,1.0
BHB,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,83,-5.0,A,1.0
BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,650,-6.0,A,2.0
BID,Block Island State Airport,41.1680984497,-71.577796936,108,-5.0,A,1.0
BIF,Biggs Army Air Field (Fort Bliss),31.84950066,-106.3799973,3946,-7.0,A,3.0
BIG,Allen Army Airfield,63.9944992065,-145.722000122,1291,-9.0,A,5.0
BIH,Eastern Sierra Regional Airport,37.3731002808,-118.363998413,4124,,,
BIL,Billings Logan International Airport,45.807701110839844,-108.54299926757812,3652,-7.0,A,3.0
BIS,Bismarck Municipal Airport,46.772701263427734,-100.74600219726562,1661,-6.0,A,2.0
BIV,Tulip City Airport,42.742900848389,-86.107398986816,698,-5.0,A,1.0
BIX,Keesler Air Force Base,30.4104003906,-88.92440032959999,33,-6.0,A,2.0
BJC,Rocky Mountain Metropolitan Airport,39.90879822,-105.1169968,5673,-7.0,A,3.0
BJI,Bemidji Regional Airport,47.50939941,-94.93370056,1391,-6.0,A,2.0
BKC,Buckland Airport,65.9815979004,-161.149002075,31,-9.0,A,5.0
BKD,Stephens County Airport,32.71900177,-98.89099884030001,1284,-6.0,A,2.0
BKE,Baker City Municipal Airport,44.837299346900004,-117.808998108,3373,,,
BKF,Buckley Air Force Base,39.701698303200004,-104.751998901,5662,-7.0,A,3.0
BKH,Barking Sands Airport,22.022800445599998,-159.785003662,23,-10.0,A,8.0
BKL,Burke Lakefront Airport,41.51750183105469,-81.68329620361328,583,-5.0,A,1.0
BKW,Raleigh County Memorial Airport,37.787300109899995,-81.1241989136,2504,-5.0,A,1.0
BLF,Mercer County Airport,37.295799255371094,-81.20770263671875,2857,-5.0,A,1.0
BLH,Blythe Airport,33.6192016602,-114.717002869,399,-8.0,A,6.0
BLI,Bellingham International Airport,48.79280090332031,-122.53800201416016,170,-8.0,A,6.0
BLV,Scott AFB/Midamerica Airport,38.5452,-89.835197,459,-6.0,A,2.0
BMC,Brigham City Airport,41.5523986816,-112.06199646,4229,-7.0,A,3.0
BMG,Monroe County Airport,39.145999908447266,-86.61669921875,846,-5.0,A,1.0
BMI,Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,871,-6.0,A,2.0
BMT,Beaumont Municipal Airport,30.0706996918,-94.21579742430002,32,-6.0,A,2.0
BMX,Big Mountain Airport,59.3611984253,-155.259002686,663,-9.0,A,5.0
BNA,Nashville International Airport,36.1245002746582,-86.6781997680664,599,-6.0,A,2.0
BNG,Banning Municipal Airport,33.9230995178,-116.850997925,2219,-8.0,A,
BOI,Boise Air Terminal/Gowen field,43.56439972,-116.2229996,2871,-7.0,A,3.0
BOS,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20,-5.0,A,1.0
BOW,Bartow Municipal Airport,27.943399429299998,-81.78340148930002,125,-5.0,U,1.0
BPI,Miley Memorial Field,42.58509827,-110.1110001,6990,,,
BPT,Southeast Texas Regional Airport,29.9507999420166,-94.02069854736328,15,-6.0,A,2.0
BQK,Brunswick Golden Isles Airport,31.258800506591797,-81.46649932861328,26,-5.0,A,1.0
BRD,Brainerd Lakes Regional Airport,46.39830017,-94.13809967,1232,-6.0,U,2.0
BRL,Southeast Iowa Regional Airport,40.783199310302734,-91.12550354003906,698,-6.0,A,2.0
BRO,Brownsville South Padre Island International Airport,25.90679931640625,-97.4259033203125,22,-6.0,A,2.0
BRW,Wiley Post Will Rogers Memorial Airport,71.285402,-156.766008,44,-9.0,A,5.0
BSF,Bradshaw Army Airfield,19.760099411,-155.554000854,6190,-10.0,A,8.0
BTI,Barter Island LRRS Airport,70.1340026855,-143.582000732,2,-9.0,A,5.0
BTL,W K Kellogg Airport,42.307300567599995,-85.2515029907,952,,,
BTM,Bert Mooney Airport,45.95479965209961,-112.49700164794922,5550,-7.0,A,3.0
BTR,"Baton Rouge Metropolitan, Ryan Field",30.53319931,-91.14959717,70,-6.0,A,2.0
BTT,Bettles Airport,66.91390228,-151.529007,647,-9.0,A,5.0
BTV,Burlington International Airport,44.471900939899996,-73.15329742429999,335,-5.0,A,1.0
BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,728,-5.0,A,1.0
BUR,Bob Hope Airport,34.20069885253906,-118.35900115966797,778,-8.0,A,6.0
BUU,Burlington Municipal Airport,42.69070053100586,-88.30460357666016,779,-6.0,A,2.0
BVY,Beverly Municipal Airport,42.584201812699995,-70.91649627689999,107,-5.0,A,1.0
BWG,Bowling Green Warren County Regional Airport,36.964500427199994,-86.41970062259999,547,-6.0,A,2.0
BWI,Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,146,-5.0,A,1.0
BXK,Buckeye Municipal Airport,33.42039871,-112.685997,1033,-7.0,U,4.0
BYH,Arkansas International Airport,35.9642982483,-89.94400024410001,254,-6.0,A,2.0
BYI,Burley Municipal Airport,42.542598724399994,-113.772003174,4150,,,
BYS,Bicycle Lake Army Air Field,35.2804985046,-116.629997253,2350,-8.0,A,6.0
BYY,Bay City Municipal Airport,28.9733009338,-95.8635025024,45,-5.0,A,
BZN,Gallatin Field,45.77750015,-111.1529999,4473,-7.0,A,3.0
C03,Nappanee Municipal Airport,41.44620132446289,-85.93479919433594,860,-5.0,A,
CAE,Columbia Metropolitan Airport,33.93880081176758,-81.11949920654297,236,-5.0,A,1.0
CAK,Akron Canton Regional Airport,40.916099548339844,-81.44219970703125,1228,-5.0,A,1.0
CAR,Caribou Municipal Airport,46.871498107899995,-68.0178985596,626,-5.0,A,1.0
CBE,Greater Cumberland Regional Airport,39.615398407,-78.7609024048,775,-5.0,A,1.0
CBF,Council Bluffs Municipal Airport,41.2592010498,-95.760597229,1253,-5.0,A,
CBM,Columbus Air Force Base,33.6437988281,-88.44380187990001,219,-6.0,A,2.0
CCB,Cable Airport,34.1115989685,-117.68800354,1444,-8.0,A,
CCO,Newnan Coweta County Airport,33.31159973144531,-84.7697982788086,970,-5.0,A,1.0
CCR,Buchanan Field,37.9897003174,-122.056999207,26,-8.0,A,6.0
CCY,Northeast Iowa Regional Airport,43.0726013184,-92.6108016968,1125,,,
CDB,Cold Bay Airport,55.20610046386719,-162.72500610351562,96,-9.0,A,5.0
CDC,Cedar City Regional Airport,37.70100021362305,-113.0989990234375,5622,-7.0,A,3.0
CDN,Woodward Field,34.2835998535,-80.56490325930001,302,-5.0,A,1.0
CDR,Chadron Municipal Airport,42.837600708,-103.095001221,3297,-7.0,A,3.0
CDS,Childress Municipal Airport,34.4337997437,-100.288002014,1954,-6.0,A,2.0
CDV,Merle K (Mudhole) Smith Airport,60.4917984,-145.4779968,54,-9.0,A,5.0
CDW,Essex County Airport,40.875198364300005,-74.2814025879,173,-5.0,A,1.0
CEC,Jack Mc Namara Field Airport,41.78020096,-124.2369995,61,-8.0,A,6.0
CEF,Westover ARB/Metropolitan Airport,42.19400024,-72.53479767,241,-5.0,A,1.0
CEM,Central Airport,65.57379913,-144.7830048,937,-9.0,A,5.0
CEU,Oconee County Regional Airport,34.6719017,-82.8864975,892,-5.0,A,1.0
CEW,Bob Sikes Airport,30.778799057,-86.522102356,213,-6.0,A,2.0
CEZ,Cortez Municipal Airport,37.3030014038,-108.627998352,5918,-7.0,A,3.0
CFD,Coulter Field,30.715700149499998,-96.3313980103,367,-6.0,A,2.0
CFV,Coffeyville Municipal Airport,37.09400177,-95.5718994141,754,-5.0,A,
CGC,Crystal River Airport,28.867300033569336,-82.57129669189453,9,-5.0,A,1.0
CGF,Cuyahoga County Airport,41.5651016235,-81.4863967896,879,-5.0,A,1.0
CGI,Cape Girardeau Regional Airport,37.22529983520508,-89.57080078125,342,-6.0,A,2.0
CGX,Chicago Meigs Airport,41.85879898071289,-87.60790252685547,593,-6.0,A,2.0
CGZ,Casa Grande Municipal Airport,32.954899,-111.766998,1464,-7.0,U,4.0
CHA,Lovell Field,35.035301208496094,-85.20379638671875,683,-5.0,A,1.0
CHO,Charlottesville Albemarle Airport,38.13859939575195,-78.4529037475586,639,-5.0,A,1.0
CHS,Charleston Air Force Base-International Airport,32.89860153,-80.04049683,46,-5.0,A,1.0
CIC,Chico Municipal Airport,39.79539871,-121.8580017,240,-8.0,A,6.0
CID,The Eastern Iowa Airport,41.884700775146484,-91.71080017089844,869,-6.0,A,2.0
CIK,Chalkyitsik Airport,66.6449966431,-143.740005493,544,-9.0,A,5.0
CIU,Chippewa County International Airport,46.25080108642578,-84.47239685058594,800,-5.0,A,1.0
CKB,North Central West Virginia Airport,39.2966003418,-80.2281036377,1217,-5.0,A,1.0
CKF,Crisp County Cordele Airport,31.98880005,-83.77390289,310,-5.0,A,1.0
CKV,Clarksville–Montgomery County Regional Airport,36.6218986511,-87.4150009155,550,-6.0,A,2.0
CLD,Mc Clellan-Palomar Airport,33.12829971,-117.2799988,331,-8.0,A,6.0
CLE,Cleveland Hopkins International Airport,41.4117012024,-81.8498001099,791,-5.0,A,1.0
CLL,Easterwood Field,30.58860016,-96.36380005,320,-6.0,A,2.0
CLM,William R Fairchild International Airport,48.120201110839844,-123.5,291,-8.0,A,6.0
CLS,Chehalis Centralia Airport,46.676998138399995,-122.983001709,176,-8.0,A,6.0
CLT,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,748,-5.0,A,1.0
CLU,Columbus Municipal Airport,39.2619018555,-85.8963012695,656,,,
CLW,Clearwater Air Park,27.9766998291,-82.7586975098,71,-5.0,A,1.0
CMH,Port Columbus International Airport,39.99800109863281,-82.89189910888672,815,-5.0,A,1.0
CMI,University of Illinois Willard Airport,40.03919983,-88.27809906,755,-6.0,A,2.0
CMX,Houghton County Memorial Airport,47.168399810791016,-88.48909759521484,1095,-5.0,A,1.0
CNM,Cavern City Air Terminal,32.337501525878906,-104.26300048828125,3295,-7.0,A,3.0
CNO,Chino Airport,33.97470093,-117.637001,650,-8.0,A,
CNU,Chanute Martin Johnson Airport,37.668800354,-95.4850997925,1002,,,
CNW,TSTC Waco Airport,31.637800216699997,-97.0740966797,470,-6.0,A,2.0
CNY,Canyonlands Field,38.75500107,-109.7549973,4557,-7.0,A,3.0
COD,Yellowstone Regional Airport,44.520198822,-109.024002075,5102,-7.0,A,3.0
COE,Coeur D'Alene - Pappy Boyington Field,47.77429962,-116.8199997,2320,-8.0,A,6.0
COF,Patrick Air Force Base,28.2348995209,-80.6100997925,8,-5.0,A,1.0
CON,Concord Municipal Airport,43.20270157,-71.50229645,342,-5.0,A,1.0
COS,City of Colorado Springs Municipal Airport,38.805801391602,-104.70099639893,6187,-7.0,A,3.0
COT,Cotulla-La Salle County Airport,28.45669937,-99.22029877,474,-6.0,A,2.0
COU,Columbia Regional Airport,38.81809997558594,-92.21959686279297,889,-6.0,A,2.0
CPR,Casper-Natrona County International Airport,42.90800095,-106.4639969,5350,-7.0,A,3.0
CQW,Cheraw Municipal Airport/Lynch Bellinger Field,34.71289825,-79.95700073,239,-5.0,A,1.0
CRE,Grand Strand Airport,33.8116989136,-78.72389984130001,32,-5.0,A,1.0
CRG,Jacksonville Executive at Craig Airport,30.3362998962,-81.51439666750001,41,,,
CRP,Corpus Christi International Airport,27.77039909362793,-97.5011978149414,44,-6.0,A,2.0
CRW,Yeager Airport,38.37310028076172,-81.59320068359375,981,-5.0,A,1.0
CSG,Columbus Metropolitan Airport,32.516300201416016,-84.93890380859375,397,-5.0,A,1.0
CSV,Crossville Memorial Whitson Field,35.9513015747,-85.08499908450001,1881,,,
CTB,Cut Bank International Airport,48.6083984375,-112.375999451,3854,-7.0,A,3.0
CTH,Chester County G O Carlson Airport,39.97900009,-75.8655014,660,-5.0,A,1.0
CTJ,West Georgia Regional O V Gray Field,33.63100051879883,-85.1520004272461,1161,-5.0,A,1.0
CTY,Cross City Airport,29.6354999542,-83.10479736330001,42,-5.0,A,1.0
CUB,Jim Hamilton L.B. Owens Airport,33.970500946,-80.9952011108,193,-4.0,A,
CVG,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896,-5.0,A,1.0
CVN,Clovis Municipal Airport,34.4250984192,-103.07900238,4216,-7.0,A,3.0
CVO,Corvallis Municipal Airport,44.49720001,-123.2900009,250,-8.0,A,6.0
CVS,Cannon Air Force Base,34.3828010559,-103.321998596,4295,-7.0,A,3.0
CVX,Charlevoix Municipal Airport,45.3047981262207,-85.2748031616211,669,-5.0,A,1.0
CWA,Central Wisconsin Airport,44.7775993347,-89.6668014526,1277,-6.0,A,2.0
CWI,Clinton Municipal Airport,41.8311004639,-90.3291015625,708,-6.0,A,2.0
CWT,Cowra Airport,-33.84469985961914,148.6490020751953,966,10.0,A,9.0
CXL,Calexico International Airport,32.6694984436,-115.513000488,4,-8.0,A,6.0
CXO,Lone Star Executive Airport,30.3518009186,-95.4144973755,245,-6.0,A,2.0
CXY,Capital City Airport,40.2170982361,-76.85150146480001,347,-5.0,A,1.0
CYF,Chefornak Airport,60.1492004395,-164.285995483,40,-9.0,A,5.0
CYS,Cheyenne Regional Jerry Olson Field,41.15570068,-104.8119965,6159,-7.0,A,3.0
CYT,Yakataga Airport,60.082000732400004,-142.492996216,12,-9.0,A,5.0
CZF,Cape Romanzof LRRS Airport,61.78030014,-166.0390015,464,-9.0,A,5.0
CZG,Tri Cities Airport,42.078499,-76.096296,833,-5.0,A,1.0
DAA,Davison Army Air Field,38.715000152600005,-77.1809997559,73,,,
DAB,Daytona Beach International Airport,29.179899,-81.058098,34,-5.0,A,1.0
DAG,Barstow Daggett Airport,34.85369873,-116.7870026,1930,,,
DAL,Dallas Love Field,32.84709930419922,-96.85179901123047,487,-6.0,A,2.0
DAN,Danville Regional Airport,36.572898864746094,-79.33609771728516,571,-5.0,A,1.0
DAW,Skyhaven Airport,43.28409957885742,-70.9292984008789,322,-5.0,A,1.0
DAY,James M Cox Dayton International Airport,39.902400970458984,-84.21939849853516,1009,-5.0,A,1.0
DBN,W H 'Bud' Barron Airport,32.56439972,-82.98529816,309,-5.0,A,1.0
DBQ,Dubuque Regional Airport,42.40200043,-90.70950317,1077,-6.0,A,2.0
DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,-5.0,A,1.0
DDC,Dodge City Regional Airport,37.76340103149414,-99.9655990600586,2594,-6.0,A,2.0
DEC,Decatur Airport,39.834598541259766,-88.8656997680664,682,-6.0,A,2.0
DEN,Denver International Airport,39.861698150635,-104.672996521,5431,-7.0,A,3.0
DET,Coleman A. Young Municipal Airport,42.40919876,-83.00990295,626,-5.0,A,1.0
DFW,Dallas Fort Worth International Airport,32.89680099487305,-97.03800201416016,607,-6.0,A,2.0
DGL,Douglas Municipal Airport,31.3425998688,-109.505996704,4173,-7.0,N,4.0
DHN,Dothan Regional Airport,31.321300506591797,-85.44960021972656,401,-6.0,A,2.0
DHT,Dalhart Municipal Airport,36.0225982666,-102.54699707,3991,-6.0,A,2.0
DIK,Dickinson Theodore Roosevelt Regional Airport,46.7974014282,-102.802001953,2592,-7.0,A,3.0
DKK,Chautauqua County-Dunkirk Airport,42.49330139,-79.27200317,693,-5.0,A,1.0
DKX,Knoxville Downtown Island Airport,35.96390151977539,-83.8739013671875,833,-5.0,A,1.0
DLF,Laughlin Air Force Base,29.359500885,-100.777999878,1082,-6.0,A,2.0
DLG,Dillingham Airport,59.04470062,-158.5050049,81,-9.0,A,5.0
DLH,Duluth International Airport,46.8420982361,-92.19360351559999,1428,-6.0,A,2.0
DLL,Baraboo Wisconsin Dells Airport,43.52270126,-89.77020264,979,-6.0,A,2.0
DMA,Davis Monthan Air Force Base,32.1665000916,-110.883003235,2704,-7.0,A,4.0
DMN,Deming Municipal Airport,32.262298584,-107.721000671,4314,,,
DNL,Daniel Field,33.4664993286,-82.0393981934,423,-5.0,A,1.0
DNN,Dalton Municipal Airport,34.72290039,-84.87020111,709,-5.0,A,1.0
DNV,Vermilion Regional Airport,40.19919968,-87.59590149,697,-6.0,A,2.0
DOV,Dover Air Force Base,39.12950134,-75.46600342,24,-5.0,A,1.0
DPA,Dupage Airport,41.90779877,-88.24859619,759,-6.0,A,2.0
DQH,Douglas Municipal Airport,31.476699829101562,-82.8604965209961,257,-5.0,A,1.0
DRA,Desert Rock Airport,36.6194,-116.032997,3314,,,
DRG,Deering Airport,66.0696029663,-162.76600647,21,-9.0,A,5.0
DRI,Beauregard Regional Airport,30.8316993713,-93.33989715579999,202,-6.0,A,2.0
DRM,Drummond Island Airport,46.0093002319,-83.74389648440001,668,-5.0,A,1.0
